Red Value, IR Value
-16054,-15667
-16072,-15677
-16065,-15671
-16083,-15690
-16055,-15664
-16052,-15703
-16069,-15677
-16082,-15708
-16063,-15683
-16059,-15708
-16069,-15696
-16079,-15719
-16083,-15697
-16092,-15718
-16078,-15688
-16068,-15727
-16083,-15712
-16098,-15733
-16083,-15716
-16109,-15745
-16083,-15707
-16068,-15728
-16083,-15684
-16080,-15658
-16044,-15586
-16037,-15543
-15993,-15484
-15991,-15495
-15971,-15450
-15994,-15472
-15971,-15440
-15966,-15478
-15981,-15465
-15998,-15488
-15985,-15483
-16013,-15504
-15988,-15484
-15991,-15520
-16004,-15507
-16005,-15531
-16003,-15502
-16000,-15531
-16012,-15532
-16027,-15567
-16013,-15559
-16051,-15575
-16019,-15553
-16015,-15584
-16031,-15565
-16040,-15591
-16021,-15558
-16012,-15568
-16023,-15574
-16024,-15581
-16021,-15568
-16042,-15588
-16007,-15560
-16019,-15598
-16030,-15585
-16042,-15621
-16040,-15593
-16065,-15624
-16037,-15599
-16028,-15643
-16046,-15629
-16060,-15652
-16047,-15640
-16038,-15650
-16053,-15653
-16062,-15689
-16063,-15645
-16085,-15673
-16057,-15646
-16054,-15692
-16070,-15682
-16090,-15709
-16067,-15665
-16051,-15707
-16079,-15690
-16099,-15709
-16084,-15690
-16116,-15714
-16068,-15677
-16070,-15712
-16092,-15700
-16097,-15735
-16080,-15698
-16072,-15720
-16091,-15710
-16090,-15728
-16085,-15706
-16103,-15744
-16092,-15706
-16070,-15738
-16094,-15727
-16097,-15754
-16087,-15712
-16108,-15694
-16052,-15627
-16019,-15595
-16010,-15539
-15993,-15522
-15971,-15467
-15975,-15465
-15949,-15438
-15941,-15476
-15960,-15468
-15985,-15495
-15959,-15464
-15957,-15498
-15983,-15498
-15995,-15532
-15986,-15508
-16005,-15537
-15990,-15517
-15980,-15550
-15997,-15548
-16017,-15593
-15990,-15556
-15999,-15596
-16007,-15592
-16023,-15628
-16017,-15615
-16033,-15651
-16021,-15627
-16011,-15654
-16024,-15655
-16045,-15698
-16033,-15672
-16051,-15710
-16023,-15672
-16037,-15723
-16037,-15706
-16053,-15758
-16035,-15709
-16037,-15744
-16048,-15742
-16056,-15775
-16055,-15754
-16069,-15788
-16055,-15752
-16048,-15785
-16055,-15780
-16079,-15803
-16057,-15782
-16093,-15810
-16062,-15778
-16054,-15817
-16080,-15807
-16094,-15857
-16084,-15842
-16085,-15867
-16087,-15868
-16104,-15893
-16097,-15864
-16107,-15899
-16105,-15864
-16097,-15902
-16102,-15877
-16111,-15868
-16067,-15815
-16061,-15761
-16020,-15687
-15987,-15648
-15971,-15589
-15971,-15588
-15945,-15538
-15925,-15542
-15948,-15553
-15958,-15573
-15957,-15562
-15979,-15591
-15952,-15560
-15953,-15605
-15965,-15586
-15984,-15614
-15970,-15594
-15966,-15609
-15977,-15613
-15989,-15643
-15991,-15622
-16017,-15659
-15988,-15617
-15978,-15637
-15989,-15621
-15994,-15629
-15988,-15606
-16006,-15620
-15978,-15585
-15976,-15624
-15989,-15600
-15996,-15631
-15987,-15597
-16005,-15634
-15985,-15602
-15975,-15635
-15989,-15626
-16012,-15668
-15988,-15631
-15986,-15671
-15997,-15658
-16014,-15702
-16008,-15673
-16030,-15690
-16014,-15654
-16016,-15689
-16023,-15683
-16034,-15707
-16020,-15680
-16041,-15701
-16012,-15691
-16001,-15707
-16026,-15695
-16043,-15725
-16020,-15685
-16051,-15714
-16010,-15676
-16032,-15723
-16025,-15698
-16040,-15726
-16026,-15704
-16029,-15740
-16031,-15703
-16033,-15686
-16001,-15616
-15990,-15571
-15936,-15493
-15920,-15484
-15921,-15451
-15934,-15461
-15907,-15433
-15910,-15451
-15916,-15445
-15930,-15474
-15920,-15460
-15948,-15484
-15928,-15462
-15915,-15494
-15938,-15475
-15946,-15507
-15943,-15483
-15965,-15501
-15937,-15467
-15946,-15519
-15956,-15507
-15976,-15545
-15963,-15522
-15992,-15546
-15955,-15507
-15953,-15542
-15961,-15520
-15976,-15559
-15963,-15507
-15947,-15530
-15965,-15522
-15969,-15545
-15962,-15541
-15975,-15554
-15955,-15533
-15942,-15567
-15962,-15559
-15983,-15592
-15971,-15564
-15998,-15592
-15972,-15575
-15959,-15600
-15982,-15611
-15988,-15632
-15987,-15611
-16009,-15633
-15985,-15599
-15979,-15629
-15996,-15611
-16001,-15631
-15993,-15603
-15986,-15604
-15998,-15614
-15991,-15634
-16003,-15611
-16019,-15641
-16010,-15605
-16002,-15623
-16018,-15626
-16028,-15647
-16011,-15624
-16031,-15620
-15987,-15557
-15959,-15526
